fecha,hora,parametro,value
2023-11-12,09:28,power_2,1.873678
2023-11-12,10:28,power_2,1.868825
2023-11-12,11:28,power_2,1.660459
2023-11-12,12:28,power_2,1.543334
2023-11-12,13:28,power_2,1.477976
2023-11-12,14:28,power_2,1.504831
2023-11-12,15:28,power_2,1.280287
2023-11-12,16:28,power_2,1.291612
2023-11-12,17:28,power_2,1.260227
2023-11-12,18:28,power_2,1.351145
2023-11-12,19:28,power_2,1.318143
2023-11-12,20:28,power_2,1.279317
2023-11-12,21:28,power_2,1.281582
2023-11-12,22:28,power_2,1.254727
2023-11-12,23:28,power_2,2.063925
2023-11-13,00:28,power_2,2.634021
2023-11-13,01:28,power_2,2.33409
2023-11-13,02:28,power_2,1.865266
2023-11-13,03:28,power_2,1.989185
2023-11-13,04:28,power_2,1.905709
2023-11-13,05:28,power_2,2.326325
2023-11-13,06:28,power_2,2.20564
2023-11-13,07:28,power_2,2.814885
2023-11-13,08:28,power_2,1.560482
2023-11-13,09:28,power_2,1.594778
2023-11-13,10:28,power_2,1.565335
2023-11-13,11:28,power_2,1.504507
2023-11-13,12:28,power_2,1.515508
2023-11-13,13:28,power_2,1.591542
2023-11-13,14:28,power_2,1.416178
2023-11-13,15:28,power_2,1.377029
2023-11-13,16:28,power_2,1.344674
2023-11-13,17:28,power_2,1.311348
2023-11-13,18:31,power_2,1.369587
2023-11-13,19:31,power_2,2.294293
2023-11-13,20:31,power_2,1.293876
2023-11-13,21:31,power_2,1.421679
2023-11-17,00:16,power_2,72.52147
2023-11-17,01:16,power_2,84.52873
2023-11-17,02:16,power_2,64.36348
2023-11-17,03:16,power_2,84.763306
2023-11-17,04:16,power_2,92.83523
2023-11-17,05:16,power_2,10.316068
2023-11-17,06:16,power_2,10.445812
2023-11-17,07:16,power_2,10.543524
2023-11-17,08:16,power_2,10.883251
2023-11-17,09:16,power_2,10.731506
2023-11-17,10:16,power_2,10.762891
2023-11-17,11:16,power_2,10.734742
2023-11-17,12:16,power_2,10.683945
2023-11-17,13:16,power_2,10.767097
2023-11-17,14:16,power_2,10.492403
2023-11-17,15:16,power_2,79.42796
2023-11-17,16:16,power_2,54.393284
2023-11-17,17:16,power_2,21.469807
2023-11-17,18:16,power_2,80.0343
2023-11-17,19:16,power_2,71.37028
2023-11-17,20:16,power_2,90.93017
2023-11-17,21:17,power_2,23.012817
2023-11-17,22:17,power_2,23.019611
2023-11-17,23:17,power_2,23.210182
2023-11-18,00:17,power_2,26.134104
2023-11-18,01:17,power_2,25.206163
2023-11-18,02:17,power_2,79.70234
2023-11-18,03:17,power_2,74.306496
2023-11-18,04:17,power_2,147.23143
2023-11-18,05:17,power_2,142.72858
2023-11-18,06:17,power_2,134.41528
2023-11-18,07:17,power_2,10.582673
2023-11-18,08:17,power_2,10.700769
2023-11-18,09:17,power_2,11.059586
2023-11-18,10:17,power_2,10.95605
2023-11-18,11:17,power_2,11.179623
2023-11-18,12:17,power_2,11.152121
2023-11-18,13:17,power_2,10.95055
2023-11-18,14:17,power_2,10.34907
2023-11-18,15:17,power_2,10.240358
2023-11-18,16:17,power_2,10.314127
2023-11-18,17:17,power_2,10.158499
